,fecha,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha
1349,2022-01-06,SEVILLA AEROPUERTO,SEVILLA,34,"10,6","0,0","5,8","15,3","1,7","6,7"
1350,2022-01-06,TORROX,MALAGA,3,"14,6","0,0","9,7","19,4","1,4","8,9"
1353,2022-01-06,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,3","0,0","10,4","18,2","3,9","12,2"
1354,2022-01-06,GRANADA AEROPUERTO,GRANADA,560,"6,6","0,0","-0,5","13,8","1,7","8,3"
1357,2022-01-06,FUENGIROLA,MALAGA,8,,"0,0",,,"1,4","12,8"
1382,2022-01-06,ABLA,ALMERIA,869,"8,2","0,0","3,7","12,8","2,2","7,5"
1385,2022-01-06,ALAJAR,HUELVA,572,"9,2","0,0","4,1","14,2","6,1","15,0"
1392,2022-01-06,LOJA,GRANADA,760,"8,1",,"3,1","13,1","1,4","14,2"
1393,2022-01-06,MÁLAGA AEROPUERTO,MALAGA,7,"14,2","0,0","10,4","17,9","5,6","14,4"
1408,2022-01-06,GRAZALEMA,CADIZ,913,"7,5","0,0","3,3","11,7","1,7","12,8"
1413,2022-01-06,ANDÚJAR,JAEN,202,"7,8","0,0","1,2","14,4","0,3","9,4"
1415,2022-01-06,CÁDIZ,CADIZ,2,"13,3","0,0","10,8","15,8","4,4","13,9"
1426,2022-01-06,ALMERÍA AEROPUERTO,ALMERIA,21,"12,2","0,0","7,9","16,4","2,8","9,7"
1430,2022-01-06,"HUELVA, RONDA ESTE",HUELVA,18,"12,0","0,0","7,2","16,7","1,7","9,2"
1433,2022-01-06,"ROTA, BASE NAVAL",CADIZ,21,"11,4","0,0","7,8","15,0","2,5","14,4"
1435,2022-01-06,AYAMONTE,HUELVA,3,"12,8","0,0","9,1","16,4","1,7","7,5"
1444,2022-01-06,TARIFA,CADIZ,32,"11,6","0,0","8,5","14,7","4,7","19,7"
1453,2022-01-06,LA RODA DE ANDALUCÍA,SEVILLA,410,"7,2","0,2","2,0","12,5","2,8","12,5"
1457,2022-01-07,ANTEQUERA,MALAGA,408,"6,4","0,0","-0,1","12,9","0,6","5,6"
1469,2022-01-07,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
1475,2022-01-07,HUÉRCAL-OVERA,ALMERIA,300,"9,8","0,0","0,7","18,8","0,6","6,1"
1497,2022-01-07,ADRA,ALMERIA,8,"14,4","0,0","10,4","18,4","1,4","6,1"
1501,2022-01-07,SANTA ELENA,JAEN,770,"4,6","0,0","0,6","8,7","3,3","14,2"
1503,2022-01-07,ARROYO DEL OJANCO,JAEN,580,"6,7","0,0","0,0","13,4",,
1512,2022-01-07,GRANADA BASE AÉREA,GRANADA,687,"6,0","0,0","-2,6","14,5","2,5","9,4"
1515,2022-01-07,"MOGUER, EL ARENOSILLO",HUELVA,41,"10,3","0,0","5,0","15,6","2,2","6,4"
1521,2022-01-07,VEJER DE LA FRONTERA,CADIZ,186,"12,5","0,0","8,4","16,6","2,2","7,5"
1525,2022-01-07,DOÑA MENCÍA,CORDOBA,650,"8,7","0,0","4,2","13,2","1,9","10,0"
1530,2022-01-07,CÓRDOBA AEROPUERTO,CORDOBA,90,"7,8","0,0","0,5","15,2","1,7","6,7"
1532,2022-01-07,ÉCIJA,SEVILLA,130,"8,4","0,0","0,8","16,1","1,4","8,3"
1535,2022-01-07,ESTEPONA,MALAGA,19,"12,6","0,0","7,8","17,5","0,8","5,3"
1541,2022-01-07,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"9,2",Ip,"2,6","15,9","3,9","12,5"
1545,2022-01-07,MORÓN DE LA FRONTERA,SEVILLA,87,"9,2","0,0","2,5","15,8","2,8","8,3"
1546,2022-01-07,BAZA,GRANADA,785,"3,6","0,0","-4,1","11,3","1,9","7,8"
